Signal_1,Signal_2
SQ_6,SQ_RTN_6
TES_BIAS_7,AGND_BOT
SQ_RTN_7,SQ_7
SQF_6,SQF_RTN_6
TES_BIAS_9,AGND_BOT
SQF_RTN_7,SQF_7
SQF_8,SQF_RTN_8
SQ_RTN_8,SQ_8
SQF_9,SQF_RTN_9
SQ_RTN_10,SQ_10
TES_BIAS_10,AGND_BOT
SQ_11,SQ_RTN_11
SQF_RTN_10,SQF_10
SQF_11,SQF_RTN_11
TES_BIAS_6,AGND_BOT
TES_BIAS_8,AGND_BOT
SQ_9,SQ_RTN_9
TES_BIAS_11,AGND_BOT
QDR_3,QDM_3
QDR_2,QDM_2
QDR_3,AGND_BOT
QDR_2,AGND_BOT
QDM_3,AGND_BOT
QDM_2,AGND_BOT
QGSET_3,AGND_BOT
QGSET_2,AGND_BOT
LED_3,LED_COM_BOT
LED_4,LED_COM_BOT
LED_5,LED_COM_BOT
AGND_BOT,AGND_TOP
TES_BIAS_4,AGND_TOP
SQF_5,SQF_RTN_5
SQ_5,SQ_RTN_5
SQF_RTN_4,SQF_4
SQ_RTN_4,SQ_4
SQ_3,SQ_RTN_3
TES_BIAS_2,AGND_TOP
SQ_2,SQ_RTN_2
SQF_RTN_3,SQF_3
SQF_RTN_2,SQF_2
SQF_1,SQF_RTN_1
SQ_1,SQ_RTN_1
SQF_RTN_0,SQF_0
SQ_RTN_0,SQ_0
TES_BIAS_5,AGND_TOP
TES_BIAS_3,AGND_TOP
TES_BIAS_0,AGND_TOP
TES_BIAS_1,AGND_TOP
QDR_0,QDM_0
QDR_0,AGND_TOP
QDR_1,QDM_1
QDR_1,AGND_TOP
QDM_0,AGND_TOP
QDM_1,AGND_TOP
QGSET_1,AGND_TOP
QGSET_0,AGND_TOP
LED_2,LED_COM_TOP
LED_1,LED_COM_TOP
LED_0,LED_COM_TOP
THERM_I-,THERM_V-
THERM_V+,THERM_V-
THERM_I+,THERM_V+
THERM_I+,THERM_I-
THERM_V-,THERM_I+
THERM_V+,THERM_I-
QRST_T-,AGND_TOP
QRST_T+,AGND_TOP
QRST_B-,AGND_BOT
QRST_B+,AGND_BOT