06,SQ_6
13,TES_BIAS_7
11,SQ_RTN_7
12,SQF_6
19,TES_BIAS_9
27,SQF_RTN_7
28,SQF_8
26,SQ_RTN_8
25,SQF_9
43,SQ_RTN_10
44,TES_BIAS_10
42,SQ_11
41,SQF_RTN_10
55,SQF_11
08,SQ_RTN_6
21,TES_BIAS_6
22,SQ_7
24,SQF_RTN_6
23,TES_BIAS_8
20,SQF_7
18,SQF_RTN_8
17,SQ_8
45,SQF_RTN_9
46,SQ_RTN_9
48,SQ_9
47,SQ_10
51,TES_BIAS_11
52,SQ_RTN_11
50,SQF_10
49,SQF_RTN_11
14,QDR_3
16,QFB_3
15,QDR_2
37,QFB_2
38,QDM_2
40,QGSET_2
39,QDM_3
10,QGSET_3
07,QBIAS_2
05,QRST_B-
03,QBIAS_3
04,QRST_B+
02,LED_3
01,LED_COM_BOT
35,LED_4
36,LED_5
30,AGND_BOT
62,TES_BIAS_4
69,SQF_5
67,SQ_5
68,SQF_RTN_4
75,SQ_RTN_4
83,SQ_3
84,TES_BIAS_2
82,SQ_2
81,SQF_RTN_3
99,SQF_RTN_2
A0,SQF_1
98,SQ_1
97,SQF_RTN_0
B1,SQ_RTN_0
B2,THERM_V-
B0,THERM_V+
A9,THERM_I-
64,TES_BIAS_5
77,SQF_RTN_5
78,SQ_RTN_5
80,SQF_4
79,SQ_4
76,SQ_RTN_3
74,TES_BIAS_3
73,SQ_RTN_2
A1,SQF_3
A2,TES_BIAS_0
A3,TES_BIAS_1
A7,SQF_2
A8,SQF_RTN_1
A6,SQ_RTN_1
A5,SQF_0
87,SQ_0
88,THERM_I+
70,QDR_0
72,QFB_0
71,QDR_1
93,QFB_1
94,QGSET_0
96,QDM_0
95,QGSET_1
66,QDM_1
63,QBIAS_1
61,QRST_T-
59,QBIAS_0
60,QRST_T+
58,LED_2
57,LED_0
91,LED_1
92,LED_COM_TOP
86,AGND_TOP
89,CHASSIS